the_geom,name,cartodb_id,month_rental,sqm_rental
0106000020E61000000100000001030000000100000029000000966C23BF1F9A0DC0E01719ADBE354440C6D9CC88EE980DC03120BAB6BA3544409B89CCAE72970DC03B618ED6B3354440A45241D05D920DC0819E34309C35444096403779B7900DC0F666D473A1354440473076D3EC8C0DC0CF690201AD3544400F7A7E98808B0DC048EF1C7EB23544403EB62DB5A48A0DC0AE752617C2354440F259FFA11D8A0DC0134E0833D1354440885E09338A890DC031AD4CB0EA3544405754544798870DC01DCB5FDF2A3644403D47E8DA28860DC0BCFBD428653644405B0710050E860DC0E599D80E67364440F766681485870DC0A0CFFDA57236444048B4863ACD890DC04B720D0285364440DAD634499D8B0DC001400FD292364440856C463F1F8F0DC05FAD2C76AF36444008E16AA30C900DC0E5A1335EB7364440DF868A393E910DC083FFE18CC0364440ED188B8ABD930DC0528B004AC6364440D7A94F35FF940DC047BD4BB0CA36444079189C26B8980DC0225313B2D7364440E163FA6BEC9B0DC0C8DB08FBE2364440EAD07E73B19C0DC088E49077E5364440A5A8EF9B8E9D0DC0F267FF86E83644409CC7B9528E9E0DC0F3B01155EB364440D86221A61F9E0DC00B87CC8FDA36444041214020499C0DC0A7D4DE4092364440178C162C7A9B0DC012992724723644402F81EBBA289B0DC0ECCC43E465364440F8DDA119F39A0DC00F714E954536444037B9B1B8029B0DC0C0BBDBFA27364440DBF5443A7E9B0DC04B4FF7D004364440D5D7F172DD9B0DC06C1F4BF4F43544401F0E7EE9219C0DC010144D2AE93544406874CD07869C0DC082997713D7354440289BDE00B29C0DC04B5E2411CE354440DF133E52FE9C0DC0D685AE4BC3354440D4C5D58F0A9C0DC09A24C0A2C2354440643D187D059B0DC01C963D68C0354440966C23BF1F9A0DC0E01719ADBE354440,Chueca-Justicia,6117,2169.59073359,23
0106000020E61000000100000001030000000100000017000000A3A13A8B7C970DC0895E22B53E334440D7241E2713980DC02FFC694D52334440AB6410583D980DC020A27E5B51334440A61D1A82AF980DC0D9BAEF344933444035548DC6239A0DC0F1264EC1303344404A4F2170619B0DC05F8C30051B3344405D454197909B0DC0A9B1F3F217334440A5E738DB479D0DC014637A3CF93244401BB4178B13A00DC0F0416606C732444040A8D5A83BA30DC0D7AD657A8F3244400AB769B02CA00DC0B54AF57D7C32444004F7A9C0E29D0DC07560B78F5D324440BC9F3C8348980DC0C2CFFB23FB314440A24AE67BB2950DC01D575912CF314440C0286500D98F0DC0CE316C0B0C32444044A662A5858F0DC07818C37412324440603B43F14E8F0DC0DE259DBD2B324440E585C61CC18E0DC008D2365475324440BE93E6D23F8F0DC005D2462A81324440A22BFE00AD8F0DC03C41839D8A3244402559F078FE900DC0731A8D9EA83244409F654F94FB910DC075EAE15CC0324440A3A13A8B7C970DC0895E22B53E334440,Chopera,6122,985.833333333,15
0106000020E61000000100000001030000000100000011000000BDB18F826A5A0DC0282691B5C83544405C71C5A6555A0DC0A1FDBF24E93544409AF3E079E25D0DC0B7DBBCA1EC354440E4377C5DE25E0DC0DDAA7678ED354440A3861FA87E620DC0F68356D3F0354440AABEDC78876A0DC040B4B36BF7354440D33175DF9E6C0DC0A69371BFF8354440A866241A9B6F0DC0DAF688D3FA354440890C38F5A5700DC0BF6E6393F935444041D58DAA1E6C0DC0842C9D0E2E354440D8EDC77D13690DC0E7578EBA36354440373945712C650DC08BEB9ED13E35444062B226F523600DC065A5DD344A35444038C80E276B5F0DC07CFF6ECD4B35444039710E22655F0DC00F7E430556354440E781FC13105B0DC00964300F52354440BDB18F826A5A0DC0282691B5C8354440,Ibiza,6129,1612,16
0106000020E61000000100000001030000000100000023000000BC8B5B961BA10DC0C5D95AA6743C4440C1A5EDE10CA00DC00B07DD48883C4440DD144171F69D0DC0CA3B2236A53C44403806BCB6E59E0DC0E2E63A86C33C4440B8ABAF3EF29F0DC0FC535FCDF23C4440E89C085552A20DC086E5D2565D3D444049226F007FA40DC00395DAD1BB3D4440B6D893F89DA50DC05866EF95D63D44405CB64A5134A60DC099EA9DE8DF3D4440D863F09943A70DC0E2FCFEF5EC3D4440DFD2868066A80DC0B1969CDBF93D4440B3500059E8AA0DC0E6F5208D153E4440927536B48EAC0DC081AFF3842A3E444080AAF27D37AD0DC068BEB3F6223E4440BAE76800BFAE0DC0CD2DDDD3123E444074FF172922B20DC02AC11631F03D4440A1D0D939D4B30DC03DFCCA51E23D44403C4E68B7AAB60DC0051E3EFCD53D444024F2A272FAB30DC0F29833337C3D44403A9E52A711B80DC0AC350030633D44403A56B81364BB0DC0C580393C4C3D4440E0A482A926BB0DC012DC2A7D413D44409BA68B09DDBA0DC0EB40EF570B3D4440A4E6D92E59B80DC0DFF5810B933C4440A1223FC29BB70DC03BFFDAD7513C4440554DAAD62EB70DC02E1DD8FF2E3C44406100F09A22B70DC04E0E59C21E3C44400B504425B8B40DC0C149FEAAFA3B444079198D4BD5B30DC059343E64153C4440A20563B265B30DC0607690992E3C44402701FB3797B20DC080CED882403C44404047CBE346B10DC0295B2BB64E3C444095926188A1AF0DC09F0B8E36553C4440C066A42CBEA20DC00290FA2D683C4440BC8B5B961BA10DC0C5D95AA6743C4440,Pilar,6159,806.48,12.08
0106000020E6100000010000000103000000010000004900000081F2EB3CDED20DC01D9174643F3F44401EF30C6B6BC90DC089355A64BE3F4440CB0441E6BCC40DC08273AA6C24404440A6EF8AA7E6C00DC09B69012C504044408769694811BA0DC06F576C258540444002B257D0E9B50DC055CCDAD66C40444058D0C35E8BB40DC04027196569404440434CB0178FB70DC05726C0AF15404440834A899A88B30DC0D24F63EEFD3F4440081F30C81CAF0DC0F5604A1A03404440BF5649FE26AA0DC0179E963520404440C101705D1BA80DC0EEFCE35A2A40444018F075631FA80DC00CD738D50D404440A6AA60616CA60DC046A53AA40D4044407DC8ADEC93A40DC07ECA8C3D094044404BCA63F857A20DC0E2B31C9BFC3F444026C8365044A00DC0F0AE73B2E83F44406025E405F79A0DC0F96CF21DAE3F4440E18FF2B3D5980DC022DC93C7D23F444024EBB6DAB9970DC0E7899135E13F4440264015C04F940DC03A8B6DF505404440A4EF44F9C6910DC0E8AA85C03340444054D0C56F908D0DC02F6F5C6587404440426B803457860DC083A4FAA9104144405EBD9FB166810DC08BAB970DF64044408B0BDC9AFA7B0DC05B735CC6A0404440A89A0119157B0DC04C21250F75414440236AD39E64790DC05A874B6E8241444058596805A4770DC086AA58A0904144408214450B91760DC09E26088C95414440224A90DF9F6B0DC044CC4469BF4144404D91B4D9AF670DC0335E6286CE414440DC594C0A26660DC0A5E9B7BED74144403F0EE577AF5D0DC0DE8FF4D71042444072896D0AB2590DC00B2A6E172D4244409EDD035385540DC011FF7D6E654244400C5FA6A82A520DC092845210744244408FC27B25EA4E0DC0CDBED64188424440639FE68048530DC05E39CA4DF34244407222EA60D9550DC00DC1396C33434440158B35B411610DC023FA6A7927434440B74EC81A47660DC0A044D21846434440561B5A79896C0DC048043F026B434440F9F1171A5F5B0DC0201BBBA37044444077A65C272E6C0DC04035E01C80454440936B306251710DC0FEC65650FC464440A304AEA443830DC0A572A54A05494440D6BB43AADF860DC0356715810549444043E110CE949A0DC0C2573F34124A4440DB2C686BC3B90DC03DA0730EE948444017FBF9C5C1B90DC0070F68E41748444046EEA238B8B00DC04E2D6D7435464440DDDECC15AEA30DC0D6B3F49216454440DBC9BB5B4BB20DC066D935E32F4444401E57569822D20DC05FFC80CE76434440862AA9F22CD70DC084A07A24ED4244403F6199B539DC0DC02D30BE56F14244408205137652E80DC03087D973D04144407A7AE75F5EEF0DC0386CE5332A41444029C33A136EE00DC073C8F018DD404440DFEBDDE5E4DC0DC0E0066E15CF40444047751EF35FDB0DC04F5745797D404440FF5380962BE00DC0BF6555C041404440456BFAB2EBE40DC0F88049DE7E3F44406B780ECEF3E70DC049AA8D0D223F44407C6FB3A6EBE50DC000486CD11C3F4440E33301629CE10DC070DBAE961A3F4440C977861075DF0DC0653C5E47113F44407BD9F595EAD90DC09E2D7C0C123F444006D1E3D48BD70DC03EF1F84C173F4440A9F751DC01D60DC01FE4DB2B1F3F44402A98077E15D50DC047C450AA263F444081F2EB3CDED20DC01D9174643F3F4440,Montecarmelo,6163,1250.63333333,11.9
0106000020E61000000100000001030000000100000022000000058845000F1A0EC0E84CE909093B4440BE3C048CA2180EC06A9097D9513B44409A66643C061D0EC0D1464EDE1D3C44401AA200E2B41E0EC06DCEEF2E623C4440FF7D796D981F0EC02033B4F9873C4440EC27DCBFF71F0EC0878F91FF943C44403EA66988C6250EC0E3523FF2AC3C444061A7029EF52B0EC05FF37E0BB83C444002C4D6DC62320EC0431CE2DDBA3C44401A04C8832E370EC0D83CEED8BC3C44409DF25CCE613B0EC006358E24BD3C44400A37D04EE73E0EC06ADD3CE8B83C44402238D5A10D400EC04397EFD9B73C44408859D837E4460EC0AD3817AF9D3C44400AD74349084D0EC025519784813C4440E435D8D731530EC0832711C1643C4440BF4CF5FBC6560EC055171918473C44407A5163143B580EC080AA441D403C44409E9E71128C5B0EC08B7768E8303C444088CBE5D32A5E0EC0ABC6F761243C44407D29F26AFA620EC0C2E039E61B3C44407F3FFB913A650EC022DA9ED6133C44403756A1FC3D660EC08FC1722D103C4440B785328CDA660EC0C7757D210E3C4440278B21A6F7690EC0BB863B61FD3B4440A7C09104996A0EC00D50F7D7F83B4440CD9B5D4B6D660EC09E9BB922B63B444078B4A60C00670EC0A852442D963B4440D9CA5EC3C8500EC0051E0E8C6C3B4440FF95CBEFFF380EC0D16416A6403B444039D4EB1735260EC0B8DA71211F3B44403E230C5A6C1E0EC0D6CF4030113B444060EC1ECA3D1C0EC08862301C0D3B4440058845000F1A0EC0E84CE909093B4440,Valdemarín,6170,2472.83870968,13.6129032258
0106000020E6100000010000000103000000010000002300000008C9245C88860DC05CE7774B0231444000A025DE7B890DC01DA0CBB92A314440D5E1862C548D0DC041A6F95BEB30444057E18F9EE78F0DC0F86E03CCC0304440AC52B24200910DC0AD55B243AE3044408CF9DFE85F990DC06ED50FC675304440BADBB7EF549A0DC0FEFF82256B304440F527AA719C9B0DC07A4AF3795C30444062660DD0549C0DC0914990094E30444096D3514AEB9C0DC01EA0C3E13E3044408565F10F749E0DC03CD706B61530444065641682D79E0DC0136ED6E20530444058813528039F0DC0E71B89A3F62F4440DEA4E49A1D9F0DC0597537F4E12F44407C687F54509F0DC00840BB0DB82F4440FC263DE44AA00DC0778BBC0A902F44404355A12B9EA00DC0A3D53B04812F44403D5BC34FF3A00DC080594685542F444062819BDE57A10DC013BDD360262F444065F3C7DF05A20DC09289D8BBFF2E44404AE8394B1CA40DC083CD7C928C2E44406609B6AE12A10DC0CD94F842892E444080A08416979D0DC00245B8B18A2E4440DB2C813DA0960DC0FEE9F332A02E444098909014CA920DC08477457AA62E4440FAF34850478D0DC00990E20EA82E44401B0AF71FCD8D0DC02E373BE9322F4440E382CF57108F0DC0F24E3A84D52F4440C93B9F753E8F0DC0C89D4494FF2F4440FA919178D88E0DC0609C47021D30444063FBC429A98D0DC013193A663C304440A94E2EE60C890DC0CC2CA6C5AC3044403D11455C4B860DC02ADACB30E130444039737FE4EA840DC082BBBC1AEF30444008C9245C88860DC05CE7774B02314440,12 de Octubre-Orcasur,6189,739.8,10
0106000020E61000000100000001030000000100000030000000E2754741583B0DC09986CCD11E3244403FD76E4A2C3D0DC04F36F4832132444074E4CA047D400DC03D5E4619263244404034567BA6410DC09619DC372A324440DD67CE6169470DC028FB58395A3244401F8D23D8934C0DC04BE389FF853244400D262C68734F0DC0100893A0503244401806FD59D04F0DC06A3F5FC640324440C56990780F500DC0497FE18A35324440962E8BF1B8500DC0FFAA609E19324440C064A9B81C520DC0D0AB741BF6314440C37D3E7EE0510DC0E1A3FA12EB31444031FD2B18AD510DC0589A9AD4E1314440D1B24CBE2D510DC01AE8B05BC73144401F1ECF4CF8500DC043A25990BC314440739680BBA5500DC0BB20E921A9314440ABBC7F8E87500DC0E2EB9649A03144407F57C2CCD14F0DC0DCBA12515E314440A04EA96AB24F0DC090F957765231444047B6576A6B4F0DC0585E32C43B3144405AB823ED544F0DC0A543838635314440F8EA8BCD2F4F0DC02ED4CB092C31444076340AF3E84E0DC05D054D5619314440E82A38E1D34E0DC02216A4E41331444016811313B24E0DC0FE7748A309314440ADB4ADA0BD4F0DC0DE4E23C0F4304440118715BB48500DC001EE9F0EFB3044408187AB6B74510DC015DA1146EC304440AD1F19288E520DC00850F20FDE304440F63FD9D627540DC0CB89676ACA30444078D9A161CF550DC0743A348CB6304440992B9E1C1D530DC0D8796D4E98304440DAF61AF0B3520DC09D92619A93304440FE4EA35FBC500DC0DF5A279A7D30444001E779D66D4C0DC0C68F644D5E304440379AAF89E2460DC0AB6FE45D3B304440FCC7C90BF1410DC048072669293044408230615CFC3D0DC0E2573C3F213044405CF1673E953B0DC036F5C6F620304440D561FBBD93380DC072E04F052230444028A58F53ED380DC0BD3D83CE59304440693AC26710390DC0228CE475D2304440C816CBD083390DC0B163102F27314440B6004D0584390DC07E51B10F7F314440E3B1C6F468390DC079DD152395314440602376B132390DC067097F76D23144401E5CA0FDD33A0DC011A40E7017324440E2754741583B0DC09986CCD11E324440,Palomeras Bajas,6197,657.419354839,10
0106000020E61000000100000001030000000100000022000000A241B1CD8A030DC0B326E86F3A354440D986C46846050DC079A1FDEF07354440C0B0CA57E0000DC098208312EF344440A5974BCF4EFB0CC08D252940E2344440829B069184F60CC012A85E48DF34444049FC691370F60CC0DF1D6FD4E3344440237B834139F80CC0633A46150D354440CA19D11893FC0CC072D0200E753544405B0B5FF64A010DC0C83B21C1DE3544408203544B17030DC0B410C3BE06364440DFEF3D2FCA060DC0A45156D5563644401A4321E0C4070DC0947C496A6D364440446DC960B2080DC009B8FD6881364440681BC517FB0E0DC036A9AF880C374440F857F3C8BC0F0DC00CCE34B41C3744409A8DF18359170DC0F920D804C537444025EE3A88811A0DC02749BBAC0B38444078BECB51D91B0DC0864EB5DA063844400B9A8346AC1D0DC0E78E01B6F8374440EADE75D960210DC0CF7006FDDB37444006D43DB390270DC0AAAFE7FFAB3744400570ADBD2E2C0DC04273503588374440C9DB2C18122F0DC0DD53FF627237444086998309952F0DC0D07A90157037444028DFA588662B0DC05E2946551A374440CB770262302B0DC08552807A0D374440BBE88EB5072B0DC0CD818759FE364440C663DD68432A0DC0E83C5318C736444081ABEF13092A0DC023275BFDB33644401C6CB3132F2A0DC00A962F6C99364440C35F4F9ADC1D0DC075B09F232E3644403C4F7999FF100DC06BFBA39BBC3544409C1646CFCA090DC09CBB29AC7D354440A241B1CD8A030DC0B326E86F3A354440,Pueblo Nuevo,6208,851.5,12
0106000020E6100000010000000103000000010000002B0000000441034805C40DC072CF69C7B02E44401FE5E8AD60C50DC0241CD860072E44405B63CE1844C60DC0D8B4F740A32D4440F61373DE18C80DC0DE2E0097D12C4440D9D95E5D4ACA0DC04E629042CE2B444058BA1F50FCCA0DC0A39D094E892B444026A1C851E9CB0DC094DC00E6072B44404C89272D70CC0DC06A4CF03FBA2A444097BF246F37C80DC0DA522DEE9D2A4440E1260A22A4C20DC0439FD1E15A2A44403495363407B40DC063F8DAF9E92944407CF5697CC9B20DC09B6F03A96F29444047C924501DAA0DC01E78947B592944406DFB6F535DA00DC050379F3337294440185E398A4F920DC055944AE13C294440A4DD786DD88B0DC04CBD27B5FB2844405BE53728CB890DC0F7FCDA1806294440DEFBB241498A0DC0F6CD52E7922A44407D03D8FF8C8A0DC0C7B57F52312B44403E818BDED68A0DC0AAE89F5CAC2B444038380041408B0DC02A9CA9F8432C4440D79074681F8D0DC08C746284432C4440745541DA1B8E0DC0DFB2A1A1422C4440DD7172AB8D8F0DC00694AF65432C44403B337C7AEA900DC0F1B892CE442C44408697E6C8B3930DC068F95A2C4F2C4440C7F647C70C960DC0FC63E898602C444005107EFE5E970DC0361269AD6E2C4440D77E6418A8980DC095FE4112812C444079C62A86A99A0DC09F8516899D2C4440DA77EF722B9D0DC043AE2884BA2C44405B27D4E1AEA00DC070026D68E32C444097BF3006C4A40DC0BF5E8C43172D4440C35B96366BA60DC066198CA3312D44406C27B16E57A70DC0A0C4925E472D4440B449B1C7E5A70DC06AD072C85C2D4440A02DDE395CA80DC0B7EE62438B2D44406C7A1933F4A40DC0C3568B206C2E44406A20B24E2DA40DC040F4012B8C2E4440E7D57C528AB50DC0112B3B4D9E2E44401A48ABD1D3BB0DC0954B7B62A82E44402194315B71BF0DC01C42BCD0AC2E44400441034805C40DC072CF69C7B02E4440,San Andrés,6224,636.666666667,10
0106000020E6100000010000000103000000010000002F00000043A450C213D80CC0B8D27ACBFA3944404915F89CBFD70CC05C8A41D1F5394440628AE4E4A3D70CC0F927057EF4394440E52A380609CF0CC046A81C1D743A444021784EABB6CD0CC01A9855C5873A44407709AF6681CC0CC0E400B925953A44408583898708C40CC0A9AEDAE5D13A444079BA26E7BFBE0CC0DB365CB8F43A44403470DDF97CB80CC0B7724B19203B4440BA83956C2EB60CC09547317B2F3B4440C9DA9173FAAC0CC0B353C9B08F3B4440827E593FB5AA0CC04B0FE38BA93B4440DA058D0B0AA90CC0BA587DB4C93B44404B68DCAE6DA80CC0E654312EDA3B4440B2A14FEB7EA90CC0D26A559DE53B44404410C87B64AB0CC0AEDE4DD2F13B4440C76C46FADBAC0CC087479C04F73B444093FB60B7EFAE0CC004574628FA3B4440D5E24AF8D2B30CC061CE585FFC3B4440583CC1B34CBF0CC016414452003C444080BA139AE8C20CC08552FAE1013C4440892DCD9124CC0CC04F9E94D8153C4440B88A5292AACF0CC05CA4A07A243C4440A7BCCFD88BD20CC0C2BF0153343C4440893BF6D15ED30CC0FD397CC7383C4440C8802BC762DA0CC00554713A5E3C444098E342FDDDDE0CC0D327F262663C4440BC55419D59ED0CC093C675DC693C4440B46D135D00FD0CC0EBC04BB0753C4440FDB0346372FE0CC060E5F9CF573C44401D0C8CD93FFF0CC0842E4093303C4440E488AB8A80FE0CC041969100003C4440D544889CD2050DC0FB37EC72F43B4440296F82FCE5030DC0E784009ECC3B4440A431C604C2010DC0E1DF17DE9F3B4440BED0A0E28BFF0CC03607C50B713B4440490E44E4EEFC0CC0217CD7613E3B444000BE6D1E45F90CC008BCA4C2FA3A4440F74BC840CEF70CC0C75197E4E73A44405F631007D8F30CC094FD5AF6C03A444037ABFBD41FF10CC0781549C4A93A4440A176553AF3E50CC0F31CF0644B3A4440849835EC9FE30CC079AA3D7A3E3A44408746942CDCDE0CC0E135D6D2273A44402BFA14C76CDC0CC0CD8C7EE91C3A44407A01BF3738DA0CC01F4BBB110F3A444043A450C213D80CC0B8D27ACBFA394440,Campo de las Naciones-Corralejos,6248,1334.72727273,11.8181818182
0106000020E61000000100000001030000000100000023000000B983FD02D7B90DC09F8D23B4E13244407BC88AC3DAB90DC0D0309710E9324440412BC7B069BC0DC03A538110D7324440E2ACC6BA54BE0DC0E686679BC5324440C485D62E89D10DC00C7186E51A324440BD8CC7838ED30DC0069C93E7043244409BF077CE78D60DC0D8BB2B77E5314440CBBF06F17CDA0DC013B086D4B9314440BBAF1E70A0DA0DC0D37E7CD4B9314440AAF39CCF58DB0DC002C3D608B2314440E59B002AF6DA0DC02BB3EE55AC314440E2AE63F73DDA0DC04C1AB907A8314440FB92C94E8CD90DC01F73B5D7A23144403EEC78872FD80DC0AC490FB496314440584243810CD40DC0069F5D317A31444002C1261B5BD20DC0BA6BF12D6E314440A60073DB50D00DC0211335A2623144408DE833AEA1CD0DC09D8859D55B314440FEA0B666F5C90DC0B06D00D052314440DB5D6D231DC80DC0B37F555A4E314440491E109458C60DC00858C8684C3144403A35FFDEC7C40DC02AB271F24D31444046BD701C4DBD0DC0551E93524F314440C7CE056EF8BC0DC0DB00E6605631444026ED071236BD0DC0877112F55A31444064BA8C5521BB0DC0D80C5BAEBF3144400865E35E83BA0DC0D9B81386DC3144404151308E45BA0DC07C550F5AE9314440E4911029E3B80DC0D703FE672D3244408952EE57BAB80DC035454EFD37324440BB93B613EDB80DC0E683985054324440C63C03CBAAB90DC067353D3C7A324440D5F03E5393B80DC05C52BCD1AA32444026F6306860B90DC00C926D2AD0324440B983FD02D7B90DC09F8D23B4E1324440,Opañel,6181,734.580645161,10.9677419355
0106000020E61000000100000001030000000100000025000000639A607D9B480DC0FFB14EE1D43D44406BFECDE4574A0DC0428E38A0AF3D44403B6B1AA3A84B0DC01B0D161E993D444035D26954C74C0DC0D55B90CD873D44401DB6382C29500DC0C1ED2B71533D4440236619F61B520DC0E73A33CD2F3D4440340A07BB3D530DC06743845F183D444009A4FD5A63530DC0AF9ACC2DF03C44404772458098520DC0C8BEF13CC13C444086D18C3879520DC03975C962B73C4440C3B0E6D514520DC0675BBA899F3C44407B1F74109F500DC049592FA4453C444003F5D6B5F84E0DC02BDB3651E73B4440A887E8F6CF4E0DC05F94B754DF3B444081318827B14E0DC0849859E1D73B4440F51F9254B84D0DC06167D16CDB3B44400C8FEB78024D0DC053B27E2FE03B4440B71332AD254C0DC02FD8294FE73B444038B177A280490DC0B9AE78E3083C44402B337A89CC450DC0756ACF59383C4440B6925B209A440DC0112BF6F8433C44406A11E5EF52430DC087BF55D94F3C4440059ADBDEA3420DC02027CE72583C4440F91B310906420DC03A73F8C6633C44406219D63668410DC091D54D10733C444063F490F10B400DC05E1C78D5933C4440C5284D5E453F0DC0DE0565F3AB3C4440EB2EC51C773E0DC08CEC87D7CC3C44408CDA3C43DE3C0DC09E44AC7DF63C4440FF965ACBF13B0DC0A37436690D3D44400622CB128C380DC01C6D0165453D444066AA2A9152370DC0C941409A593D4440380EBADF51330DC0BA79D37A993D444045FFE8BC8A3B0DC0CE42F9F2B23D4440AC42EB8C0D3F0DC04143DE1CBE3D444057D6D0E92D410DC0E674F655C33D4440639A607D9B480DC0FFB14EE1D43D4440,Apóstol Santiago,6220,1000.63157895,11.7894736842
