the_geom,cartodb_id,name,line
0101000020E6100000D5C9198A3B7E0DC030DAE38574364440,78,Serrano,L4
0101000020E61000004A46CEC29E760DC0D1E80E6267364440,79,Velázquez,L4
0101000020E6100000A949F086346A0DC0E19A3BFA5F364440,80,Goya,L4
0101000020E6100000A38FF98040670DC06D4F90D8EE364440,81,Lista,L4
0101000020E61000009E8EC70C54660DC083C2A04CA3374440,82,Diego de León,L4
0101000020E610000004F86EF3C6690DC02DD1596611384440,83,Avenida de América,L4
0101000020E61000007E7214200A660DC0A8AB3B16DB384440,84,Prosperidad,L4
0101000020E61000002404ABEAE5570DC06A50340F60394440,85,Alfonso XIII,L4
0101000020E6100000B58993FB1D4A0DC0B24B546F0D3A4440,86,Avenida de la Paz,L4
0101000020E6100000A038807EDF3F0DC0AF5DDA70583A4440,87,Arturo Soria,L4
0101000020E6100000658F5033A42A0DC084B872F6CE3A4440,88,Esperanza,L4
0101000020E61000006E7022FAB5150DC083E0F1ED5D3B4440,89,Canillas,L4
0101000020E61000000D2F88484D1B0DC04E0B5EF4153C4440,90,Mar de Cristal,L4
0101000020E6100000D5E1E82ADD1D0DC0FF03AC55BB3C4440,91,San Lorenzo,L4
0101000020E6100000A5BC564277290DC0EBC726F9113D4440,92,Parque de Santa María,L4
0101000020E61000007F30F0DC7B380DC07F4C6BD3D83C4440,93,Hortaleza,L4
0101000020E6100000CAD6FA22A14D0DC053C554FA093D4440,94,Manoteras,L4
0101000020E6100000AC1BEF8E8C550DC07D5D86FF743D4440,95,Pinar de Chamartín,L4
0101000020E6100000DF59BBED42B30CC0294014CC983A4440,96,Alameda de Osuna,L5
0101000020E6100000DCED7A698AC00CC05968E7340B3A4440,97,El Capricho,L5
0101000020E610000020938C9C85DD0CC08C15359886394440,98,Canillejas,L5
0101000020E610000071BF4351A0EF0CC01A6A1492CC384440,99,Torre Arias,L5
0101000020E610000004C4245CC8030DC0D4D51D8B6D384440,100,Suanzes,L5
0101000020E610000059E02BBAF51A0DC02123A0C211384440,101,Ciudad Lineal,L5
0101000020E61000000E0EF62686240DC07E9065C1C4374440,102,Pueblo Nuevo,L5
0101000020E6100000AF997CB3CD2D0DC01EA67D737F374440,103,Quintana,L5
0101000020E61000009481035ABA420DC04640852348374440,104,El Carmen,L5
0101000020E61000006EA6423C124F0DC0E0BBCD1B27374440,105,Ventas,L5
0101000020E610000029A73D25E7640DC04AB20E4757374440,106,Diego de León                 ,L5
0101000020E6100000D8EBDD1FEF750DC0732EC55565374440,107,Núñez de Balboa,L5
0101000020E61000006AF6402B30840DC00695B88E71374440,108,Rubén Darío,L5
0101000020E6100000187B2FBE688F0DC095BBCFF1D1364440,109,Alonso Martínez,L5
0101000020E6100000CBC2D7D7BA940DC0C458A65F22364440,110,Chueca,L5
0101000020E6100000D2C8E7154F9D0DC0AE7C96E7C1354440,111,Gran Vía,L5
0101000020E610000074EE76BD34A50DC0B3D1393FC5354440,112,Callao,L5
0101000020E610000072FC5069C4AC0DC0FEF0F3DF83354440,113,Ópera,L5
0101000020E6100000FE9600FC53AA0DC0F8D85DA0A4344440,114,La Latina,L5
0101000020E61000002D793C2D3FB00DC0A6BA809719344440,115,Puerta de Toledo,L5
0101000020E61000005439ED2939A70DC0226FB9FAB1334440,116,Acacias,L5
0101000020E610000081221631ECB00DC0DE3B6A4C88334440,117,Pirámides,L5
0101000020E610000021E868554BBA0DC006802A6EDC324440,118,Marqués de Vadillo,L5
0101000020E61000000FE6762FF7C90DC0D8F0F44A59324440,119,Urgel,L5
0101000020E61000005531957EC2D90DC0605AD427B9314440,120,Oporto,L5
0101000020E610000014950D6B2AEB0DC0D6A71C93C5314440,121,Vista Alegre,L5
0101000020E61000005708ABB184F50DC06B662D05A4314440,122,Carabanchel,L5
0101000020E61000000798F90E7E020EC0151A886533314440,123,Eugenia de Montijo,L5
0101000020E610000013C2A38D23160EC08EC2F5285C314440,124,Aluche,L5
0101000020E6100000FBE6FEEA711F0EC09C6ED921FE314440,125,Empalme,L5
0101000020E6100000C30AB77C24250EC0CCB6D3D688324440,126,Campamento,L5
0101000020E6100000BBD05CA791160EC0F148BC3C9D334440,127,Casa de Campo,L5
0101000020E61000006A4DF38E53F40DC0E0D231E719334440,128,Laguna,L6
0101000020E610000021B0726891ED0DC00116F9F543324440,129,Carpetana,L6
0101000020E610000006A1BC8FA3D90DC030D63730B9314440,130,Oporto,L6
0101000020E61000005B01857AFAC80DC0E560360186314440,131,Opañel,L6
0101000020E6100000A55F22DE3ABF0DC083893F8A3A314440,132,Plaza Elíptica,L6
0101000020E6100000DA1324B6BBA70DC059C16F438C314440,133,Usera,L6
0101000020E6100000C95EEFFE788F0DC02DD1596611324440,134,Legazpi,L6
0101000020E6100000577A6D3656820DC04E9CDCEF50324440,135,Arganzuela-Planetario,L6
0101000020E61000002D5A80B6D56C0DC0565C1C959B324440,136,Méndez Álvaro,L6
0101000020E61000001A66683C11640DC0E1EEACDD76334440,137,Pacífico,L6
0101000020E6100000764A07EBFF5C0DC05F42058717344440,138,Conde de Casal,L6
0101000020E6100000C45BE7DF2E5B0DC0CC63CDC820354440,139,Sainz de Baranda,L6
0101000020E61000003F1BB96E4A590DC078EFA83121364440,140,O'Donnell,L6
0101000020E6100000EEF0D7648D5A0DC01E6E8786C5364440,141,Manuel Becerra,L6
0101000020E6100000B79388F02F620DC0ED7F80B56A374440,142,Diego de León,L6
0101000020E6100000B6679604A8690DC02DD1596611384440,143,Avenida de América,L6
0101000020E6100000B7B41A12F7780DC08BA9F413CE384440,144,República Argentina,L6
0101000020E6100000384BC972128A0DC0F67B629D2A394440,145,Nuevos Ministerios,L6
0101000020E6100000968FA4A487A10DC014B2F33636394440,146,Cuatro Caminos,L6
0101000020E6100000B14F00C5C8B20DC09BABE63922394440,147,Guzmán el Bueno,L6
0101000020E610000024917D9065C10DC005FA449E24394440,148,Metropolitano,L6
0101000020E6100000A92B9FE579D00DC0187D0569C6384440,149,Ciudad Universitaria,L6
0101000020E61000009755D80C70C10DC05A80B6D5AC374440,150,Moncloa,L6
0101000020E6100000156EF9484ABA0DC0511212691B374440,151,Argüelles,L6
0101000020E610000011E2CAD93BC30DC0EFC2D66CE5354440,152,Príncipe Pío,L6
0101000020E61000009838F24064D10DC02C7DE882FA344440,153,Puerta del Ángel,L6
0101000020E6100000562C7E5358E90DC0F8FC304278344440,154,Alto de Extremadura,L6
0101000020E6100000936B0A6476F60DC0F6622827DA334440,155,Lucero,L6
0101000020E61000000B7E1B62BC460CC0E256410C74354440,156,Hospital del Henares,L7
0101000020E6100000B988EFC4AC370CC01BB96E4A79354440,157,Henares,L7
0101000020E61000006456EF703B340CC08FE3874A23364440,158,Jarama,L7
0101000020E610000090847D3B89480CC00588821953364440,159,San Fernando,L7
0101000020E610000074B7EBA529620CC06A87BF266B364440,160,La Rambla,L7
0101000020E6100000F9F36DC1527D0CC0C32ADEC83C364440,161,Coslada Central,L7
0101000020E6100000C5538F34B88D0CC0FBE4284014364440,162,Barrio del Puerto,L7
0101000020E610000049B9FB1C1FCD0CC0EC34D25279374440,163,Estadio Olímpico,L7
0101000020E6100000F54E05DCF3DC0CC039E97DE36B374440,164,Las Musas,L7
0101000020E61000005C5A0D897BEC0CC0DB166536C8364440,165,San Blas,L7
0101000020E61000001F0E12A27C010DC00B9B012EC8364440,166,Simancas,L7
0101000020E61000008CD651D504110DC0E6797077D6364440,167,García Noblejas,L7
0101000020E6100000AFEDED96E4200DC0FD6662BA10374440,168,Ascao,L7
0101000020E61000000E0EF62686240DC031276893C3374440,169,Pueblo Nuevo,L7
0101000020E6100000B9A0BE654E370DC0E47B462234384440,170,Barrio de la Concepción,L7
0101000020E610000054C90050C54D0DC062BA10AB3F384440,171,Parque de las Avenidas,L7
0101000020E610000049F59D5F94600DC04CFA7B293C384440,172,Cartagena,L7
0101000020E610000068D7BD1589690DC02DD1596611384440,173,Avenida de América,L7
0101000020E6100000B9C7D2872E880DC09A40118B18384440,174,Gregorio Marañón,L7
0101000020E61000000E84640113980DC057B5A4A31C384440,175,Alonso Cano,L7
0101000020E6100000492C29779FA30DC0A960545227384440,176,Canal,L7
0101000020E6100000C48366D7BDB50DC0AA7D3A1E33384440,177,Islas Filipinas,L7
0101000020E6100000B14F00C5C8B20DC04E42E90B21394440,178,Guzmán el Bueno,L7
