the_geom,amenity,name,cartodb_id
0101000020E610000007D2C5A695B20DC0C167356E7B364440,bar,Mür Café,22
0101000020E6100000492D944C4EAD0DC07F3562C158364440,restaurant,Rey de Tallarines,23
0101000020E610000061D4FF8359B20DC0E9EEDF617F364440,restaurant,Bar Nino,25
0101000020E6100000E8D3CF40D1B10DC067D13B1570364440,pub,Tempo,26
0101000020E6100000BD659824E0B10DC0581CCEFC6A364440,restaurant,Delhi,27
0101000020E6100000E71A66683CB10DC067C3503D88364440,restaurant,La Pomarada,28
0101000020E6100000C410EFEF22920DC080D18A146F364440,restaurant,Sexto,29
0101000020E6100000A17609980ABB0DC02C859BE7E3374440,fast_food,Don Oso,30
0101000020E61000001618B2BAD5A30DC0CD11E8024D354440,fast_food,McDonald's,32
0101000020E6100000833BAB60AFAB0DC04127295547354440,restaurant,Brasa y Leña,33
0101000020E6100000C1C991297AAB0DC060394206F2344440,pub,100 montaditos,34
0101000020E61000006713BB1171AE0DC0C757F1FC58354440,cafe,Anticafé,35
0101000020E610000034F3E49A02990DC096D69585653E4440,bar,Cadillac Solitario,41
0101000020E6100000D6B441DC8BAE0DC070123933B0344440,restaurant,El Viajero,44
0101000020E61000004C55DAE21AAF0DC0A86E2EFEB6344440,pub,El Tomás,45
0101000020E61000009ADDA4B3DDAE0DC03ED8182AB5344440,pub,La Tomasa,46
0101000020E61000009C7928C066AF0DC08436EFEEB7344440,pub,El Bonanno,47
0101000020E6100000E22E0CA2FFAF0DC0835EC99FB9344440,pub,Cervecería San Andrés,48
0101000020E6100000D8721D99FDB00DC08CB8A57AD7344440,restaurant,Vanila,49
0101000020E610000010B8640BF7B00DC043D25DC8D9344440,restaurant,Naïa,50
0101000020E61000009936D208ECB00DC08FA5B4A3DD344440,restaurant,El Cosaco,51
0101000020E6100000681888AFC0B10DC081A90B1DE0344440,restaurant,El Estragón Taberna,52
0101000020E61000002D3CD45BA8B10DC0E5C46867E2344440,restaurant,Tío Timón,53
0101000020E6100000164D672783B30DC0563BD400EF344440,shop,"Librería ""Arranca Thelma""",55
0101000020E61000000C8C61F316B40DC0AC144C46DF344440,bar,Bar Barocco,56
0101000020E61000004216B36F388D0DC0CD678A4A343A4440,pub,Irish Rover,59
0101000020E610000087ECCDB925830DC053E34AE2513A4440,pub,Lolita's,61
0101000020E61000005485ABA8667B0DC0D1066003223E4440,restaurant,Casa Ginés,66
